UTILCODE,PLNTCODE,PLNTNAME,CNTYNAME,STATE,PLNTZIP,WATSOURCE,NERC,NAICS,SERVAREA
213,78,Snettisham,Juneau,AK,99801,Long Lake And Crater Lake,ASCC,22,
213,7250,Auke Bay,Juneau,AK,99801,N/A,ASCC,22,
219,66,Skagway,Skagway-Yakutat,AK,99840,Dewey Lake,ASCC,22,
219,69,Haines,Haines,AK,99927,,ASCC,22,
219,406,Tok,Southeast Fairbanks,AK,99780,Well,ASCC,22,
219,421,Craig,Prince of Wales,AK,99921,Municipality,ASCC,22,
219,423,Hydaburg,Prince of Wales,AK,99922,,ASCC,22,
219,7169,Northway,Southeast Fairbanks,AK,99764,Well,ASCC,22,
219,7414,Thorne Bay Plant,Prince of Wales,AK,99919,N/A,ASCC,22,
219,7751,Goat Lake Hydro,Skagway-Yakutat,AK,99840,Goat Lake,ASCC,22,
219,7752,Black Bear Lake,Prince of Wales,AK,99921,Black Bear Lake,ASCC,22,
219,56146,False Island,Prince of Wales,AK,99919,,ASCC,22,
219,56147,Viking,Prince of Wales,AK,99921,,ASCC,22,
219,56265,South Fork,Prince of Wales,AK,99925,South Fork Black Bear Creek,ASCC,22,
221,6311,Chevak,Bethel,AK,99563,N/A,ASCC,22,
221,6314,Emmonak,Bethel,AK,99581,N/A,ASCC,22,
221,6319,Hooper Bay,Bethel,AK,99604,N/A,ASCC,22,
221,6323,Kiana,Kobuk,AK,99749,N/A,ASCC,22,
221,6329,Mountain Village,Bethel,AK,99632,N/A,ASCC,22,
221,6330,Noorvik,Kobuk,AK,99763,N/A,ASCC,22,
221,6333,Nunapitchuk,Bethel,AK,99641,N/A,ASCC,22,
221,6338,St Marys,Bethel,AK,99658,N/A,ASCC,22,
221,6341,Selawik,Kobuk,AK,99770,N/A,ASCC,22,
221,6345,Shishmaref,Nome,AK,99772,N/A,ASCC,22,
221,6348,Togiak,Dillingham,AK,99678,N/A,ASCC,22,
228,2113,Albany,Gentry,MO,64402,N/A,SPP,22,
252,52071,Sandow Station,Milam,TX,76567,Alcoa Lake Treatment System,ERCOT,331312,TXU Electric Delivery Company
257,55676,AES Columbia Power Project,Walla Walla,WA,99363,,WECC,22,PacifiCorp
261,6705,Warrick,Warrick,IN,47630,Ohio River,ECAR,22,Southern Indiana Gas & Elec Co
