,Plant State,AER Fuel Code,m,b,Rsq,Std Error
185,WA,MLG,8.197721184465325e-05,-0.16294234186432363,0.5658602420169573,2.2706663954954546e-05
186,WA,NG,0.0015701595958818452,-3.0710543908938344,0.05470219472708052,0.0020640762983153826
187,WA,NUC,-0.0010775492863298532,2.242004146035812,0.08736383771463714,0.0011013367430792538
188,WA,OOG,4.4682542565197214e-05,-0.0867904137788893,0.13879884648061777,3.5196319446933464e-05
189,WA,ORW,5.965518626299616e-06,-0.011822279260126722,0.09970538087551119,5.668670776184447e-06
190,WA,OTH,6.0051211720696474e-05,-0.1198440509384035,0.4688147536654372,2.021362208324399e-05
191,WA,PC,0.0,0.0,0.0,0.0
192,WA,RFO,-7.24711921622202e-06,0.014633639615776227,0.21979398974805986,4.317796252983523e-06
193,WA,SUN,8.1107780126119e-07,-0.0016261891090516047,0.8766502148358415,1.1499250164485723e-07
194,WA,WND,0.006347406849684082,-12.717600630465821,0.9600628570448824,0.0004093878964432437
195,WA,WOC,7.598333244120737e-05,-0.1525160828246819,0.31766917293233077,3.7119920909801156e-05
196,WA,WOO,-2.5986271735337057e-05,0.052344583432535036,0.6987181990830719,5.396092642741803e-06
197,WA,WWW,0.0001640927680970386,-0.31674415751173707,0.10468382995067105,0.00015175319858091153
198,AZ,COL,-0.002991548541076628,6.387030420671485,0.21431809674627444,0.001811298415638662
199,AZ,DFO,-3.042615105026209e-06,0.006584696193471514,0.012580970519180133,8.523946024044388e-06
200,AZ,GEO,0.0,0.0,0.0,0.0
201,AZ,HPS,-1.5783519373007077e-05,0.032554815243002244,0.007282777448917368,5.827309789518866e-05
202,AZ,HYC,-0.000723775245795058,1.5163802235615431,0.09352667151483059,0.0007125469759307108
203,AZ,MLG,1.7925347345899824e-05,-0.035656153100112914,0.18789799688191153,1.1784517227716157e-05
204,AZ,NG,-0.0034793740657676764,7.273884580046829,0.1171731519300309,0.0030201243988548067
205,AZ,NUC,0.0039445883379999195,-7.657540815476625,0.42682733015180363,0.0014455007238916347
206,AZ,OOG,0.0,0.0,0.0,0.0
