,State,Sector,m,b,Rsq,Std Error
183,Georgia , industrial,0.09276686505881943,-180.01671518790977,0.32794711773273344,0.0368316367780065
184,Georgia , transportation,,,,
185,Georgia , other,,,,
186,Maryland , all sectors,0.34597934461659385,-683.2260299987049,0.4559453044098734,0.10481981847169987
187,Maryland , residential,0.39010133492184695,-770.5413447529636,0.5296938007210282,0.10194916354498167
188,Maryland , commercial,0.217814544000442,-426.1627079809605,0.2541477777178977,0.10349001141954549
189,Maryland , industrial,0.23487290659791207,-462.9024439466366,0.2873608653658104,0.10258462346423404
190,Maryland , transportation,,,,
191,Maryland , other,,,,
192,North Carolina , all sectors,0.08093683346749969,-153.4378049790125,0.8531525794158102,0.009313101586886493
193,North Carolina , residential,0.07387445457596332,-137.4500428244559,0.8106596083864033,0.009902046912384025
194,North Carolina , commercial,0.05419639684667728,-100.19298620930283,0.7108288446557737,0.009587242261572823
195,North Carolina , industrial,0.0561214433709023,-106.33853269582016,0.7751856945475659,0.008382358916137662
196,North Carolina , transportation,,,,
197,North Carolina , other,,,,
198,South Carolina , all sectors,0.18862967230837877,-370.07231681698704,0.9358916630370361,0.013692501599250773
199,South Carolina , residential,0.22230597019928133,-435.199213611603,0.9523697901055781,0.01378852758488574
200,South Carolina , commercial,0.16288452276655266,-317.70054319576116,0.9528026814089421,0.010054612116668452
201,South Carolina , industrial,0.11309128359079709,-221.2965956800543,0.7967389170076613,0.01584260372867503
202,South Carolina , transportation,,,,
203,South Carolina , other,,,,
204,Virginia , all sectors,0.13931593207075235,-270.97494936032217,0.7086039114274445,0.02477816810461057
205,Virginia , residential,0.14247211115322403,-275.36842580449405,0.7055110402108918,0.025529410432190792
206,Virginia , commercial,0.09355902859593757,-179.93280421180572,0.5365217116950297,0.02411765477403498
207,Virginia , industrial,0.16381178731215051,-322.6377650160018,0.7185517618985493,0.02843437655784599
208,Virginia , transportation,,,,
209,Virginia , other,,,,
210,West Virginia , all sectors,0.17060624019071888,-335.4289036734424,0.6328074613057648,0.036044114802829826
211,West Virginia , residential,0.20051722477685385,-393.9275748621049,0.6927526923942947,0.037036926596133606
212,West Virginia , commercial,0.1596404776320356,-313.0123928547543,0.6729243434520525,0.030868273072294776
213,West Virginia , industrial,0.15038635210592127,-296.5362997987823,0.6222681114354017,0.03249674038040196
214,West Virginia , transportation,,,,
215,West Virginia , other,,,,
216,East South Central , all sectors,0.19361004474239002,-380.5058097276678,0.8684950173257355,0.020895061213343752
217,East South Central , residential,0.21189867967960072,-415.6006806421987,0.886428819024613,0.02103626881515174
218,East South Central , commercial,0.19468858946309642,-381.41317668380117,0.8418011626619417,0.023408075284038207
219,East South Central , industrial,0.12714279970671888,-249.50362009970922,0.682776058516548,0.024036096039661604
220,East South Central , transportation,,,,
221,East South Central , other,,,,
222,Alabama , all sectors,0.19577654566703806,-384.3773168413305,0.7435961065244285,0.03188472969120789
223,Alabama , residential,0.23491056907125624,-460.9092925999845,0.8189488519490106,0.03063395944654212
224,Alabama , commercial,0.2231918269511973,-438.0565906569531,0.7826344294792645,0.03262289618070709
225,Alabama , industrial,0.11796606158529757,-230.93824767519465,0.576625286375652,0.0280350296949769
226,Alabama , transportation,,,,
227,Alabama , other,,,,
