"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=vvvvvvvvvvvvo&endsec=vg&linechart=ELEC.PRICE.US-ALL.A&columnchart=ELEC.PRICE.US-ALL.A&map=ELEC.PRICE.US-ALL.A&freq=A&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Tue Oct 24 2017 21:59:13 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Pennsylvania : transportation","cents per kilowatthour","ELEC.PRICE.PA-TRA.A","--","--",7.78,7.32,7.22,7.45,7.72,7.57,7.77,7.91,8.93,8.07,7.81,7.65,7.82,7.64
"Pennsylvania : other","cents per kilowatthour","ELEC.PRICE.PA-OTH.A",11.46,11.59,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"East North Central","cents per kilowatthour","ELEC.PRICE.ENC-ALL.A",,,,,,,,,,,,,,,,
"East North Central : all sectors","cents per kilowatthour","ELEC.PRICE.ENC-ALL.A",6.46,6.56,6.53,6.64,6.91,7.45,7.97,8.53,8.91,9.08,9.22,9.27,9.40,9.85,9.89,9.90
"East North Central : residential","cents per kilowatthour","ELEC.PRICE.ENC-RES.A",8.13,8.05,8.15,8.28,8.41,9.14,9.74,10.39,10.92,11.41,11.79,12.05,12.14,12.65,12.96,12.91
"East North Central : commercial","cents per kilowatthour","ELEC.PRICE.ENC-COM.A",7.23,7.33,7.22,7.40,7.65,8.15,8.49,9.04,9.21,9.36,9.49,9.46,9.58,10.02,9.95,9.86
"East North Central : industrial","cents per kilowatthour","ELEC.PRICE.ENC-IND.A",4.46,4.63,4.63,4.68,4.91,5.36,5.90,6.39,6.61,6.53,6.53,6.51,6.65,7.07,6.97,6.91
"East North Central : transportation","cents per kilowatthour","ELEC.PRICE.ENC-TRA.A","--","--",5.97,6.14,6.05,6.08,6.84,7.86,8.61,6.94,6.92,6.33,5.61,7.10,7.01,6.93
"East North Central : other","cents per kilowatthour","ELEC.PRICE.ENC-OTH.A",6.64,6.27,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Illinois","cents per kilowatthour","ELEC.PRICE.IL-ALL.A",,,,,,,,,,,,,,,,
"Illinois : all sectors","cents per kilowatthour","ELEC.PRICE.IL-ALL.A",6.90,6.94,6.86,6.80,6.95,7.07,8.46,9.23,9.15,9.13,8.97,8.40,8.26,9.36,9.40,9.17
"Illinois : residential","cents per kilowatthour","ELEC.PRICE.IL-RES.A",8.71,8.39,8.38,8.37,8.34,8.42,10.12,11.07,11.27,11.52,11.78,11.37,10.63,11.91,12.50,12.23
"Illinois : commercial","cents per kilowatthour","ELEC.PRICE.IL-COM.A",7.40,7.52,7.30,7.54,7.75,7.95,8.57,9.25,9.04,8.88,8.64,7.99,8.14,9.26,9.02,8.75
"Illinois : industrial","cents per kilowatthour","ELEC.PRICE.IL-IND.A",4.65,4.89,4.86,4.65,4.61,4.69,6.61,7.34,7.01,6.82,6.42,5.80,5.94,6.85,6.67,6.37
"Illinois : transportation","cents per kilowatthour","ELEC.PRICE.IL-TRA.A","--","--",5.87,5.70,5.61,5.59,6.43,7.53,8.39,6.72,6.81,6.15,5.34,6.85,6.81,6.71
"Illinois : other","cents per kilowatthour","ELEC.PRICE.IL-OTH.A",6.37,5.88,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Indiana","cents per kilowatthour","ELEC.PRICE.IN-ALL.A",,,,,,,,,,,,,,,,
"Indiana : all sectors","cents per kilowatthour","ELEC.PRICE.IN-ALL.A",5.30,5.34,5.37,5.58,5.88,6.46,6.50,7.09,7.62,7.67,8.01,8.29,8.73,9.06,8.99,9.14
"Indiana : residential","cents per kilowatthour","ELEC.PRICE.IN-RES.A",6.92,6.91,7.04,7.30,7.50,8.22,8.26,8.87,9.50,9.56,10.06,10.53,10.99,11.46,11.57,11.39
"Indiana : commercial","cents per kilowatthour","ELEC.PRICE.IN-COM.A",5.29,5.98,6.12,6.31,6.57,7.21,7.29,7.82,8.32,8.38,8.77,9.14,9.60,9.96,9.78,9.75
"Indiana : industrial","cents per kilowatthour","ELEC.PRICE.IN-IND.A",4.11,3.95,3.92,4.13,4.42,4.95,4.89,5.46,5.81,5.87,6.17,6.34,6.70,6.97,6.86,7.02
"Indiana : transportation","cents per kilowatthour","ELEC.PRICE.IN-TRA.A","--","--",8.36,8.76,9.14,9.66,10.09,9.60,9.65,9.21,9.74,9.56,9.87,10.20,9.92,9.82
"Indiana : other","cents per kilowatthour","ELEC.PRICE.IN-OTH.A",9.06,9.75,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Michigan","cents per kilowatthour","ELEC.PRICE.MI-ALL.A",,,,,,,,,,,,,,,,
"Michigan : all sectors","cents per kilowatthour","ELEC.PRICE.MI-ALL.A",6.97,7.09,6.85,6.94,7.23,8.14,8.53,8.93,9.40,9.88,10.40,10.98,11.21,11.03,10.76,11.16
"Michigan : residential","cents per kilowatthour","ELEC.PRICE.MI-RES.A",8.26,8.28,8.35,8.33,8.40,9.77,10.21,10.75,11.60,12.46,13.27,14.13,14.59,14.46,14.42,15.30
"Michigan : commercial","cents per kilowatthour","ELEC.PRICE.MI-COM.A",7.54,7.79,7.55,7.57,7.84,8.51,8.77,9.17,9.24,9.81,10.33,10.93,11.06,10.87,10.55,10.68
"Michigan : industrial","cents per kilowatthour","ELEC.PRICE.MI-IND.A",5.08,5.02,4.96,4.92,5.32,6.05,6.47,6.73,6.98,7.08,7.32,7.62,7.72,7.68,7.02,7.04
"Michigan : transportation","cents per kilowatthour","ELEC.PRICE.MI-TRA.A","--","--",8.21,7.89,13.07,10.06,9.76,11.83,10.79,10.65,8.53,8.08,8.77,9.43,11.44,11.63
"Michigan : other","cents per kilowatthour","ELEC.PRICE.MI-OTH.A",10.38,10.43,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ohio","cents per kilowatthour","ELEC.PRICE.OH-ALL.A",,,,,,,,,,,,,,,,
"Ohio : all sectors","cents per kilowatthour","ELEC.PRICE.OH-ALL.A",6.62,6.77,6.73,6.89,7.08,7.71,7.91,8.39,9.02,9.14,9.03,9.12,9.20,9.73,9.98,9.74
"Ohio : residential","cents per kilowatthour","ELEC.PRICE.OH-RES.A",8.37,8.24,8.26,8.45,8.51,9.34,9.57,10.06,10.67,11.31,11.42,11.76,12.01,12.50,12.80,12.28
"Ohio : commercial","cents per kilowatthour","ELEC.PRICE.OH-COM.A",8.46,7.81,7.55,7.75,7.93,8.44,8.67,9.23,9.65,9.73,9.63,9.47,9.35,9.83,10.07,9.87
"Ohio : industrial","cents per kilowatthour","ELEC.PRICE.OH-IND.A",4.27,4.87,4.79,4.89,5.10,5.61,5.76,6.20,6.72,6.40,6.12,6.24,6.22,6.77,7.02,6.78
"Ohio : transportation","cents per kilowatthour","ELEC.PRICE.OH-TRA.A","--","--",6.17,9.21,9.03,10.13,9.98,10.68,10.73,8.62,6.64,6.98,6.62,8.78,7.69,7.76
"Ohio : other","cents per kilowatthour","ELEC.PRICE.OH-OTH.A",5.86,5.42,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wisconsin","cents per kilowatthour","ELEC.PRICE.WI-ALL.A",,,,,,,,,,,,,,,,
"Wisconsin : all sectors","cents per kilowatthour","ELEC.PRICE.WI-ALL.A",6.08,6.28,6.64,6.88,7.48,8.13,8.48,9.00,9.38,9.78,10.21,10.28,10.51,10.57,10.73,10.92
"Wisconsin : residential","cents per kilowatthour","ELEC.PRICE.WI-RES.A",7.90,8.18,8.67,9.07,9.66,10.51,10.87,11.51,11.94,12.65,13.02,13.19,13.55,13.67,14.11,14.38
"Wisconsin : commercial","cents per kilowatthour","ELEC.PRICE.WI-COM.A",6.34,6.54,6.97,7.24,7.67,8.37,8.71,9.28,9.57,9.98,10.42,10.51,10.74,10.77,10.89,10.95
"Wisconsin : industrial","cents per kilowatthour","ELEC.PRICE.WI-IND.A",4.36,4.43,4.71,4.93,5.39,5.85,6.16,6.51,6.73,6.85,7.33,7.34,7.40,7.52,7.58,7.74
"Wisconsin : transportation","cents per kilowatthour","ELEC.PRICE.WI-TRA.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",14.66,14.68
"Wisconsin : other","cents per kilowatthour","ELEC.PRICE.WI-OTH.A",7.70,8.08,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"West North Central","cents per kilowatthour","ELEC.PRICE.WNC-ALL.A",,,,,,,,,,,,,,,,
"West North Central : all sectors","cents per kilowatthour","ELEC.PRICE.WNC-ALL.A",5.99,5.96,6.03,6.17,6.37,6.65,6.83,7.13,7.57,7.93,8.26,8.54,8.98,9.12,9.29,9.57
